transaction_hash,user_address,timestamp,degen_swapped_value,min_ath_swapped_for
0x6d1fa406f6446d9d9e37ba38763ca92ae9d2cbc776930d3187f62fef6adfa163,0x9D4F9F6e997f51fCAf6896d5C9EdB778Cb78114b,2024-04-20T14:20:25.000000Z,360000000000000000000,1792473119554581546558
0xee5d7fee6bce623c0fd3b8a38891813247dcc829b561c44bd4c0c1d4b5dc39f7,0x41A535Af3b7f1e5Df7c5A5B2c1605382AA4FB365,2024-04-20T12:31:37.000000Z,300000000000000000000,1535055970603911291187
0x6c22f5f2611e2593d37fea7af8f76f2d808f8e791f530387f2ed47bfb2b5c696,0xffc5BB3Ce21EBaF25648dEc737Ea96A2C1C38Bae,2024-04-20T11:53:52.000000Z,16500000000000000000000,81707626009010272596769
0xb20c6293a8ab4880cd2fd44dc8735c823b4630ccf6236b8f2c164af66b68fd15,0xbB54A1260A44D862523b8dc7682b5eBE36839BC8,2024-04-20T09:47:48.000000Z,10549128741713107145351,50406220357140541885030
0xe017c71273e0f8263c20eb55759e52343c4426abcbd235429ff27fb729546781,0x8B24b1686832757e2f6d640e11e88e7f0064594a,2024-04-20T09:28:18.000000Z,280000000000000000000,1400692235316426224251
0x3100ca6bd244c550a000d50b3c06d7740551e2e176fe863d7af086c32912c342,0x42111cF98b9d91A0148F9313e875D3610953790e,2024-04-20T08:01:32.000000Z,19000989999790000000000,96515173654536942795424
0xa379ee2ccc041ebcea320ec3ddcc29d7ee540f4017c4ec9f71925684b7bb0269,0xb42573ddb86b68429C8f791ED0F2B79d2ca95588,2024-04-20T07:55:43.000000Z,10000000000000000000000,51071591751428860886556
0x0168951bd10f3dbbf336c4fab8ec9529df8a7c186a8ad60f3f92dfe9412d5f51,0x3733a7e614383Ee460766d377f763d85E6A3Fb22,2024-04-20T06:18:46.000000Z,11250000000000000000000,53940304989498969569456
0x2609819a1a833dbc86257bca97b45ab7e3bb66d3da9de6aa9ff3084f90898a20,0x160372d2966C793Df52CEC2AE29F2a4A3F72974d,2024-04-20T04:08:21.000000Z,15000000000000000000000,73263088690925536449737
0x5aa2258f3643143b0f71b6103e9b0154a72bb92407f767fa8be1b478eb21bc9d,0x35a9A4fEde2f889e3E2d8529722a233B7A6aFea6,2024-04-20T03:05:37.000000Z,560005243894204347000,2587320024912101176818
0x4bd8435c84fcda2a9d6837b9c7f7435185031a0b784e46f01879ba8021c04795,0xc8583Fa45B2EeD1039c70D5D63919501bbc076B4,2024-04-20T02:55:34.000000Z,6148000000000000000000,28204951760965355055677
0x5bffc97711c97c8b2956c3c0e5741f44bf88878558990b645101485c6b18fed1,0xb9A966bE5C18Ea220C515ffd30c3B674D680E908,2024-04-20T02:48:33.000000Z,2333000000000000000000,10305992592510918286656
0xc06577cd5d0633f0dab598afa77312369ab6dd0c846f570af8864d317a8191bb,0x12615d86f93f58137eC12E40012cFc57543bEECf,2024-04-20T02:42:31.000000Z,130000537974052869139344,617180092688009978414334
0x136d1312ec5c50da066f6858ea939054de41ed5c4e474327c1942ade1f16acc3,0x585A22e32F077dbdcf63C598313356acDE257F46,2024-04-20T02:17:10.000000Z,600000000000000000000,1952562899598365062126
0x25718f17119588a0a100e8e4759f873f94d2c0e52ce14dc88ab4791b13269eed,0xb2d768011C9c599C5e90ce5D252c4164861f2153,2024-04-20T02:00:16.000000Z,400000000000000000000000,1384569023788182577042673
0xf94ef840de9ae2c387449d4ad115c283f48fdb7b463a77912a494dc3f8c9b1e8,0x51545deE0671B910b8F12de6760a83f781922030,2024-04-20T01:47:25.000000Z,10000597300886905273121,55498383547559069556207
0xb1cb4aafb16e87968fa6d3f483ba5fa80b9dffdf0bf185a8647ec28e9912eeda,0xCf33CED3FdaD5Fca68b2605C8788783b81259F24,2024-04-19T20:45:04.000000Z,5000000000000000000000,31242501792057923503521
0x74403e64ce7f3fab6b7cdf3a24647ee8abb97ef0fbbdec31967233a1b1f4ea72,0xB420daCc3A5F85D75303e2fC0F6E64CA705aeEc7,2024-04-19T20:36:02.000000Z,6700000000000000000000,42574684987355077738345
